"team_a","team_b","gender","series","team_a_venue","toss_winner","toss_decision","first_innings_total","day_night","rain","duckworth_lewis","win_toss_win_game"
"England","Australia","M","low","home","England","field",249,"0","0","0","won"
"Pakistan","Bangladesh","M","low","home","Pakistan","bat",329,"1","0","0","won"
"Australia","Pakistan","M","medium","home","Pakistan","field",300,"0","0","0","lost"
"South Africa","West Indies","M","medium","home","South Africa","bat",185,"0","0","0","won"
"India","England","F","low","home","India","field",130,"0","0","0","won"
"Australia","Bangladesh","M","medium","away","Australia","bat",249,"0","0","0","won"
"England","New Zealand","M","medium","home","New Zealand","field",237,"0","0","0","lost"
"England","Australia","M","low","home","Australia","field",277,"0","0","0","lost"
"India","Sri Lanka","M","medium","away","India","field",179,"0","0","0","won"
"Australia","West Indies","M","medium","home","West Indies","field",277,"1","1","1","lost"
"New Zealand","Australia","F","medium","home","New Zealand","bat",232,"0","0","0","won"
"Zimbabwe","Sri Lanka","M","low","home","Zimbabwe","bat",260,"0","0","0","won"
"Pakistan","Sri Lanka","F","medium","away","Pakistan","bat",166,"0","0","0","won"
"South Africa","Zimbabwe","M","low","home","South Africa","bat",222,"1","0","0","won"
"Sri Lanka","Pakistan","M","low","home","Sri Lanka","field",187,"0","0","0","won"
"Australia","New Zealand","M","medium","home","Australia","bat",289,"0","0","0","won"
"India","England","F","low","home","India","bat",219,"0","0","0","won"
"England","Pakistan","M","low","home","Pakistan","field",363,"0","0","0","lost"
"England","West Indies","M","medium","home","West Indies","field",285,"0","0","0","lost"
"Australia","India","M","medium","home","Australia","bat",159,"1","0","0","won"
"Sri Lanka","India","F","medium","home","Sri Lanka","bat",66,"0","0","0","won"
"India","New Zealand","F","low","away","New Zealand","field",150,"0","0","0","lost"
"Sri Lanka","Zimbabwe","M","low","away","Sri Lanka","field",187,"0","0","0","won"
"Zimbabwe","New Zealand","M","low","home","New Zealand","bat",294,"0","0","0","lost"
"India","Pakistan","M","medium","home","Pakistan","bat",255,"1","0","0","lost"
"Sri Lanka","Australia","M","medium","home","Sri Lanka","field",225,"0","0","0","won"
"Sri Lanka","West Indies","M","medium","away","West Indies","field",287,"0","0","0","lost"
"England","Australia","F","high","home","England","bat",208,"0","0","0","won"
"Australia","South Africa","F","high","away","South Africa","bat",163,"0","0","0","lost"
"New Zealand","Pakistan","M","high","away","Pakistan","field",238,"0","0","0","lost"
"South Africa","Australia","M","low","home","South Africa","bat",289,"1","0","0","won"
"Australia","West Indies","M","medium","home","West Indies","bat",172,"1","0","0","lost"
"Australia","New Zealand","M","medium","home","New Zealand","field",301,"1","0","0","lost"
"Pakistan","West Indies","M","low","home","Pakistan","field",173,"0","0","0","won"
"Australia","West Indies","M","high","away","West Indies","bat",234,"1","0","0","lost"
"New Zealand","South Africa","M","low","home","South Africa","bat",290,"1","0","0","lost"
"Sri Lanka","South Africa","M","low","home","South Africa","field",249,"0","0","0","lost"
"Sri Lanka","Pakistan","M","low","home","Pakistan","field",130,"0","0","0","lost"
"New Zealand","West Indies","M","medium","away","West Indies","field",138,"0","0","0","lost"
"Pakistan","Sri Lanka","F","medium","away","Sri Lanka","field",147,"0","0","0","lost"
"India","Pakistan","M","low","away","Pakistan","field",226,"0","0","0","lost"
